GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
myfirstmock,myfirstmock,Business,0,17,0,0,0,7,0,3,0,3
myfirstmock,myfirstmock,Printer,5,0,0,0,2,0,1,0,1,0
